No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,bolge,lat,lon,radius
4_5_6,,"39.92609104788722, 32.86923808623911",1018/19,"Çamlıtepe, Taşkent Sk. No:12, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.92609104788722,32.86923808623911,8.6
4_5_7,,"39.92603240266264, 32.86895092172907",1018/18,"Çamlıtepe, Taşkent Sk. No:10, 06590 Çankaya/Ankara",Boş,3.0,Değil,,,,,Boşaltılmış dönem yapısı,4,39.92603240266264,32.86895092172907,4.8
4_5_8,,"39.925968970019404, 32.86884167436153",1018/17,"Çamlıtepe, Taşkent Sk. No:8, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.925968970019404,32.86884167436153,7.333333333333333
4_5_9,,"39.92587561621113, 32.868833870978136",1018/16,"Çamlıtepe, Taşkent Sk. NO:6, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92587561621113,32.868833870978136,7.333333333333333
4_5_10,,"39.925819364492604, 32.86856543458844",1018/15,"Çamlıtepe, Taşkent Sk. No:4, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.925819364492604,32.86856543458844,7.333333333333333
4_5_11,,"39.92574755372283, 32.86851237158069",1018/25,"Çamlıtepe, Taşkent Sk. No:2, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.92574755372283,32.86851237158069,7.333333333333333
4_5_12,,"39.9252999315652, 32.868574798648545",1018/12,"Çamlıtepe, Kıbrıs Cd. No:13, 06600 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,Dönem yapısı?,4,39.9252999315652,32.868574798648545,6.066666666666666
4_5_13,,"39.92515003329994, 32.86865550929129",1018/11,"Çamlıtepe, Kıbrıs Cd. No:12, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,Dönem yapısı?,4,39.92515003329994,32.86865550929129,6.066666666666666
4_5_14,,"39.92530111356283, 32.86884382021958",1018/10,"Çamlıtepe, Bahadırlar Sk. No:3, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92530111356283,32.86884382021958,6.066666666666666
4_5_15,,"39.92540113438522, 32.86904199274737",1018/9,"Çamlıtepe, Bahadırlar Sk. No:5, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.92540113438522,32.86904199274737,6.066666666666666
4_5_16,,"39.92551818693753, 32.86917666124957",1018/8,"Çamlıtepe, Bahadırlar Sk. No:7, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92551818693753,32.86917666124957,7.333333333333333
4_5_17,,"39.92557166711669, 32.86922762322064",1018/7,"Çamlıtepe, Bahadırlar Sk. No:9, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92557166711669,32.86922762322064,7.333333333333333
4_5_18,,"39.925656001160505, 32.869404649014875",1018/6,"Çamlıtepe, Bahadırlar Sk. No:11, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.925656001160505,32.869404649014875,7.333333333333333
4_5_19,,"39.925773245878034, 32.86959240364513",1018/5,"Çamlıtepe, Bahadırlar Sk. No:13, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.925773245878034,32.86959240364513,7.333333333333333
4_5_20,,"39.925859818411475, 32.86978446465787",1018/4,"Çamlıtepe, Bahadırlar Sk. No:15, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.925859818411475,32.86978446465787,7.333333333333333
4_5_21,,"39.925995990850666, 32.86991978038417",1018/3,"Çamlıtepe, Bahadırlar Sk. No:17, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.925995990850666,32.86991978038417,7.333333333333333
4_5_22,,"39.92608530300274, 32.86993877091455",1018/2,"Çamlıtepe, Bahadırlar Sk. No:19, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92608530300274,32.86993877091455,7.333333333333333
4_5_23,,"39.92609095951525, 32.87003197767742",1018/1,"Çamlıtepe, Bahadırlar Sk. No:21, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.92609095951525,32.87003197767742,7.333333333333333
4_6_1,,"39.92677716777038, 32.87004188902384",1015/12,"Çamlıtepe, Taşkent Sk. No:24, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,4,39.92677716777038,32.87004188902384,8.6
4_6_2,,"39.92685561553946, 32.870218946139836",1015/13,"Çamlıtepe, Taşkent Sk. No:26, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,4,39.92685561553946,32.870218946139836,7.333333333333333
4_6_3,,"39.926828290769095, 32.87048656378646",1015/14,"Çamlıtepe, Taşkent Sk. No:28, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.926828290769095,32.87048656378646,7.333333333333333
4_6_4,,"39.92694572907725, 32.870532051205025",1015/15,"Çamlıtepe, Taşkent Sk. No:30, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92694572907725,32.870532051205025,7.333333333333333
4_6_6,,"39.92706425430764, 32.87066320703668",1015/16,"Çamlıtepe, Taşkent Sk. No:32, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,4,39.92706425430764,32.87066320703668,7.333333333333333
4_6_7,,"39.92705341036706, 32.8709808281343",1015/17,"Çamlıtepe, Taşkent Sk. No:34, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Dönem yapısı?,4,39.92705341036706,32.8709808281343,6.066666666666666
4_6_8,,"39.9271726936189, 32.870993881056116",1015/18,"Çamlıtepe, Taşkent Sk. No:36, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.9271726936189,32.870993881056116,8.6
4_6_9,,"39.927194381460524, 32.87120272780524",1015/19,"Çamlıtepe, Taşkent Sk. No:38, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,4,39.927194381460524,32.87120272780524,6.066666666666666
4_6_10,,"39.92729948398475, 32.87136045061197",1015/20,"Çamlıtepe, Taşkent Sk. No:40, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,4,39.92729948398475,32.87136045061197,8.6
