No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,bolge,lat,lon,radius
3_1_41,Büfe,"39.928081186611266, 32.86632054413606",9432-01-01 00:00:00,"Fidanlık, Prof. Dr. Nusret Fişek Cd. No:39, 06420 Çankaya/Ankara",Rekreasyon,1.0,Değil,,,,,,3,39.928081186611266,32.86632054413606,2.2666666666666666
3_1_42,Büfe,"39.92748517071059, 32.865842058848834",9432-01-01 00:00:00,"Fidanlık, Prof. Dr. Nusret Fişek Cd. No:39, 06420 Çankaya/Ankara",Rekreasyon,1.0,Değil,,,,,,3,39.92748517071059,32.865842058848834,2.2666666666666666
3_1_43,WC,"39.926852262136414, 32.864842049918764",9432-01-01 00:00:00,"Fidanlık, Prof. Dr. Nusret Fişek Cd. No:39, 06420 Çankaya/Ankara",Servis,1.0,Değil,,,,,,3,39.926852262136414,32.864842049918764,2.2666666666666666
3_1_44,Danışma,"39.92681149175258, 32.86478128988229",9432-01-01 00:00:00,"Fidanlık, Prof. Dr. Nusret Fişek Cd. No:39, 06420 Çankaya/Ankara",Rekreasyon,1.0,Değil,,,,,,3,39.92681149175258,32.86478128988229,2.2666666666666666
3_1_45,Eğitim Merkezi,"39.92676877989583, 32.86493065830529",9432-01-01 00:00:00,"Fidanlık, Prof. Dr. Nusret Fişek Cd. No:39, 06420 Çankaya/Ankara",Rekreasyon,1.0,Değil,,,,,,3,39.92676877989583,32.86493065830529,2.2666666666666666
3_2_1,New Park Hotel,"39.92441421547257, 32.86305958618237",2926/15,"Ön Cebeci, Mh, Ziya Gökalp Cd. No:58, 06600 Çankaya/Ankara",Turizm,8.0,Değil,,,,,,3,39.92441421547257,32.86305958618237,11.133333333333333
3_2_2,,"39.92465089583539, 32.86343605620269",2926-06-01 00:00:00,"Ön Cebeci, Ziya Gökalp Cd. No:.60 06530 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,3,39.92465089583539,32.86343605620269,9.866666666666667
3_2_3,,"39.92473286639454, 32.86369757320189",2926-07-01 00:00:00,"Ön Cebeci, Ziya Gökalp Cd. No:.62 06530 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,3,39.92473286639454,32.86369757320189,9.866666666666667
3_2_4,Çaykur Konukevi,"39.92457779290294, 32.863854973410895",2926-08-01 00:00:00,"Ön Cebeci, Umut Sk. No:40, 06590 Çankaya/Ankara",Konukevi,5.0,Değil,,,,,,3,39.92457779290294,32.863854973410895,7.333333333333333
3_2_5,Özel Vefa Yüksek Öğrenim Erkek Öğrenci Yurdu,"39.92451355306428, 32.86375321838466",2926-09-01 00:00:00,"Ön Cebeci, Umut Sk. No:42, 06590 Çankaya/Ankara",Yurt,6.0,Değil,,,,,,3,39.92451355306428,32.86375321838466,8.6
3_2_6,,"39.92436376198387, 32.86368915949133",2926-10-01 00:00:00,"Ön Cebeci, Umut Sk. No:44, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92436376198387,32.86368915949133,7.333333333333333
3_2_7,,"39.924311309344674, 32.86348799381415",2926-11-01 00:00:00,"Ön Cebeci, Umut Sk. No:46, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.924311309344674,32.86348799381415,7.333333333333333
3_2_8,,"39.924145788585875, 32.863310023711264",2926-12-01 00:00:00,"Ön Cebeci, Umut Sk. No:48, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.924145788585875,32.863310023711264,7.333333333333333
3_2_9,,"39.92407288636961, 32.863235436982706",2926/13,"Ön Cebeci, Umut Sk. No:50, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92407288636961,32.863235436982706,7.333333333333333
3_2_10,,"39.92401905083592, 32.86315500031515",2926/14,"Ön Cebeci, Umut Sk. No:52, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92401905083592,32.86315500031515,7.333333333333333
3_2_11,,"39.92387436763226, 32.86298388958493",2926-01-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:3, 06590, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92387436763226,32.86298388958493,7.333333333333333
3_2_12,OYAK Genel Müdürlüğü,"39.92502458128604, 32.86399356190006",7001/21,"Ön Cebeci, Ziya Gökalp Cd. No:64, 06600 Çankaya/Ankara",Ofis,7.0,Değil,,,,,,3,39.92502458128604,32.86399356190006,9.866666666666667
3_2_13,,"39.925105322596885, 32.86403277270809",7001-02-01 00:00:00,"Ön Cebeci, Ziya Gökalp Cd. 66, 06590 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,3,39.925105322596885,32.86403277270809,9.866666666666667
3_2_14,,"39.925193251528476, 32.86427120815422",7001-03-01 00:00:00,"Ön Cebeci, Ziya Gökalp Cd. No:68, 06590 Çankaya/Ankara",Ofis + Ticaret,9.0,Değil,,,,,,3,39.925193251528476,32.86427120815422,12.399999999999999
3_2_15,,"39.92534503453215, 32.864374238881226",7001-04-01 00:00:00,"Ön Cebeci, Ziya Gökalp Cd. No:70, 06600 Çankaya/Ankara",Benzinlik,2.0,Değil,,,,,,3,39.92534503453215,32.864374238881226,3.533333333333333
3_2_16,,"39.92548160450292, 32.86466464303876",7001-05-01 00:00:00,"Ön Cebeci, Ziya Gökalp Cd. No:72, 06600 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,3,39.92548160450292,32.86466464303876,9.866666666666667
3_2_17,,"39.9256994805367, 32.86480967406569",7001-06-01 00:00:00,"Ön Cebeci, Ziya Gökalp Cd. No:74, 06600 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,3,39.9256994805367,32.86480967406569,9.866666666666667
3_2_18,,"39.92575818715858, 32.86502657379631",7001-07-01 00:00:00,"Ön Cebeci, Ziya Gökalp Cd. No:76, 06600 Çankaya/Ankara",Konut + Ticaret,8.0,Değil,,,,,,3,39.92575818715858,32.86502657379631,11.133333333333333
3_2_19,,"39.92580652141466, 32.86507218654483",7001-08-01 00:00:00,"Ön Cebeci, Ziya Gökalp Cd. No:76, 06600 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,3,39.92580652141466,32.86507218654483,9.866666666666667
3_2_20,Kredi ve Yurtlar Kurumu,"39.925610590316985, 32.86539368479467",7001-09-01 00:00:00,"Ön Cebeci, Aydoğmuş Sk. No:4, 06590 Çankaya/Ankara",Devlet Dairesi,4.0,Değil,,,,,Dönem yapısı?,3,39.925610590316985,32.86539368479467,6.066666666666666
3_2_21,,"39.92555742898937, 32.86529186429031",7001-10-01 00:00:00,"Ön Cebeci, Umut Sk. No:18, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92555742898937,32.86529186429031,6.066666666666666
3_2_22,,"39.925505596228916, 32.86525302485117",7001-11-01 00:00:00,"Ön Cebeci, Umut Sk. No:20, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.925505596228916,32.86525302485117,6.066666666666666
3_2_23,,"39.9254212110701, 32.865057993079",7001-12-01 00:00:00,"Ön Cebeci, Umut Sk. No:22, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,3,39.9254212110701,32.865057993079,4.8
3_2_24,,"39.92530396574969, 32.864938634787535",7001/13,"Ön Cebeci, Umut Sk. No:24, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92530396574969,32.864938634787535,7.333333333333333
3_2_25,,"39.92523505831858, 32.864821958704866",7001/14,"Ön Cebeci, Umut Sk. No:26, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92523505831858,32.864821958704866,7.333333333333333
3_2_26,,"39.92515175222716, 32.86471332924858",7001/15,"Ön Cebeci, Umut Sk. No:28, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92515175222716,32.86471332924858,7.333333333333333
3_2_27,,"39.92506638909005, 32.86462481635827",7001/16,"Ön Cebeci, Umut Sk. No:30, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92506638909005,32.86462481635827,6.066666666666666
3_2_28,,"39.9249797094339, 32.86448043721694",7001/17,"Ön Cebeci, Umut Sk. No:32, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.9249797094339,32.86448043721694,7.333333333333333
3_2_29,,"39.92489640303175, 32.8643396212551",7001/18,"Ön Cebeci, Umut Sk. No:34, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92489640303175,32.8643396212551,7.333333333333333
3_2_30,OYAK Genel Müdürlüğü,"39.924806544705135, 32.864178634323075",7001/21,"Ön Cebeci, Umut Sk. No:36, 06590 Çankaya/Ankara",Ofis,5.0,Değil,,,,,,3,39.924806544705135,32.864178634323075,7.333333333333333
3_2_31,,"39.92366172188127, 32.86337170412471",2941-05-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:5, 06590 Çankaya/Ankara",Konut,13.0,Değil,,,,,,3,39.92366172188127,32.86337170412471,17.466666666666665
3_2_32,,"39.92366105972172, 32.86376966418902",2941-07-01 00:00:00,"Ön Cebeci, Umut Sk. No:21, 06590 Çankaya/Ankara",Müştemilat,1.0,Değil,,,,,,3,39.92366105972172,32.86376966418902,2.2666666666666666
3_2_33,Sağlık Bakanlığı Ek Hizmet Binası,"39.92400740062829, 32.86394370787042",2941-07-01 00:00:00,"Ön Cebeci, Umut Sk. No:19, 06590 Çankaya/Ankara",Devlet Dairesi,13.0,Değil,,,,,,3,39.92400740062829,32.86394370787042,17.466666666666665
3_2_34,,"39.92418335092886, 32.86397923369908",2941-08-01 00:00:00,"Ön Cebeci, Umut Sk. No:19, 06590 Çankaya/Ankara",Müştemilat,1.0,Değil,,,,,,3,39.92418335092886,32.86397923369908,2.2666666666666666
3_2_35,,"39.92423517093783, 32.864269592888895",2941-09-01 00:00:00,"Ön Cebeci, Umut Sk. No:17, 06590 Çankaya/Ankara",Konut,13.0,Değil,,,,,,3,39.92423517093783,32.864269592888895,17.466666666666665
3_2_36,,"39.92463179814012, 32.86481035205626",2941-10-01 00:00:00,"Ön Cebeci, Umut Sk. No:15, 06590 Çankaya/Ankara",Konut,15.0,,,,,,,3,39.92463179814012,32.86481035205626,20.0
3_2_37,,"39.92535545835919, 32.86554209599112",,"Ön Cebeci, Umut Sk. 13, 06590 Çankaya/Ankara",Taksi Durağı,1.0,Değil,,,,,,3,39.92535545835919,32.86554209599112,2.2666666666666666
3_2_38,,"39.92505956689615, 32.8653300983234",2941-02-01 00:00:00,"Ön Cebeci, Servi Sk. No:2, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92505956689615,32.8653300983234,6.066666666666666
3_2_39,,"39.92428378593574, 32.8648154734049",2941-02-01 00:00:00,"Ön Cebeci, Servi Sk. No:6, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92428378593574,32.8648154734049,6.066666666666666
3_2_40,,"39.92375011285499, 32.86422960956534",2941-02-01 00:00:00,"Ön Cebeci, Servi Sk. No:8, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92375011285499,32.86422960956534,6.066666666666666
3_2_41,,"39.92332225886022, 32.863787045077785",2941-04-01 00:00:00,"Ön Cebeci, Servi Sk. No:10, 06590 Çankaya/Ankara",Konut,13.0,Değil,,,,,,3,39.92332225886022,32.863787045077785,17.466666666666665
3_3_1,TEKSİF + Noter ,"39.92606364107295, 32.865526340822896",2930-03-01 00:00:00,"Ön Cebeci, Aydoğmuş Sk. No:1, 06590 Çankaya/Ankara",Sendika+Noter,8.0,Değil,,,,,,3,39.92606364107295,32.865526340822896,11.133333333333333
3_3_2,Özelleştirme Dairesi Başkanlığı,"39.92625528196211, 32.86599196414869",2930/23,"Ön Cebeci, Boncuk Sk. No:2, 06590 Çankaya/Ankara",Devlet Dairesi,11.0,Değil,,,,,,3,39.92625528196211,32.86599196414869,14.933333333333334
3_3_3,,"39.92625234025815, 32.86645507845357",2930/14,"Ön Cebeci, Boncuk Sk. No:4, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92625234025815,32.86645507845357,7.333333333333333
3_3_4,Çankaya 6 Nolu Aile Sağlığı Merkezi,"39.92618810147717, 32.86668422993384",2930/15,"Ön Cebeci, Boncuk Sk. No:6, 06590 Çankaya/Ankara",Sağlık,3.0,Değil,,,,,,3,39.92618810147717,32.86668422993384,4.8
3_3_5,,"39.9260514940311, 32.86651727099581",2930-12-01 00:00:00,"Ön Cebeci, Umut Sk. No:4, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.9260514940311,32.86651727099581,7.333333333333333
3_3_6,,"39.925983615810736, 32.866356338449094",2930/13,"Ön Cebeci, Umut Sk. No:6, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.925983615810736,32.866356338449094,7.333333333333333
3_3_7,,"39.92599336648811, 32.86619420746669",2930/16,"Ön Cebeci, Umut Sk. No:8, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,3,39.92599336648811,32.86619420746669,8.6
3_3_8,,"39.925911124774174, 32.866112850912266",2930/17,"Ön Cebeci, Umut Sk. No:10, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,3,39.925911124774174,32.866112850912266,8.6
3_3_10,,"39.925398736919746, 32.86603478204135",1023/7,"Ön Cebeci, Umut Sk. No:11, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.925398736919746,32.86603478204135,7.333333333333333
3_3_11,,"39.92524240972992, 32.86610451947825",1023/6,"Ön Cebeci, Aydoğmuş Sk. No:7, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,3,39.92524240972992,32.86610451947825,8.6
3_3_12,,"39.92504970085932, 32.86609065966621",1023/18,"Ön Cebeci, Aydoğmuş Sk. No:9, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,3,39.92504970085932,32.86609065966621,8.6
3_3_13,,"39.92504970085932, 32.86623818116736",1023/17,"Ön Cebeci, Aydoğmuş Sk. No:11, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92504970085932,32.86623818116736,7.333333333333333
3_3_14,,"39.924758465124285, 32.866223224349525",1023/14,"Ön Cebeci, Cevher Sk. No:20, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,3,39.924758465124285,32.866223224349525,8.6
3_3_15,,"39.92483745249551, 32.86633711085888",1023/15,"Ön Cebeci, Cevher Sk. No:18, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92483745249551,32.86633711085888,7.333333333333333
3_3_16,,"39.92485422602357, 32.86650841271402",1023/16,"Ön Cebeci, Cevher Sk. No:16, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92485422602357,32.86650841271402,6.066666666666666
3_3_17,,"39.92500232631519, 32.86657546794179",1023/3,"Ön Cebeci, Cevher Sk. No:14, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92500232631519,32.86657546794179,6.066666666666666
3_3_18,,"39.9251442554607, 32.866752493743185",1023/2,"Ön Cebeci, Cevher Sk. No:12, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.9251442554607,32.866752493743185,7.333333333333333
3_3_19,Cebeci Polis Merkezi Amirliği,"39.925326963632244, 32.86692195807884",1023/1,"Ön Cebeci, Boncuk Sk. No:10, 06590 Çankaya/Ankara",Polis Merkezi,5.0,Değil,,,,,,3,39.925326963632244,32.86692195807884,7.333333333333333
3_3_20,Abdulhadi Kurtuluş Merkez Cami,"39.92585353735537, 32.86669589875462",1023/12,"Ön Cebeci, Boncuk Sk. No:8, 06590 Çankaya/Ankara",Dini,2.0,Değil,,,,,,3,39.92585353735537,32.86669589875462,3.533333333333333
3_3_21,,"39.92607404290963, 32.86690257586708",1022/7,"Ön Cebeci, Umut Sk. No:5, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92607404290963,32.86690257586708,7.333333333333333
3_3_23,Ankara Gençlik Ve Spor İl Müdürlüğü,"39.92641323776585, 32.86769693383148",1022/14,"Ön Cebeci, Kıbrıs Caddesi No:4 Kurtuluş, Kıbrıs Cd., Çankaya/Ankara",Devlet Dairesi,5.0,Değil,,,,,,3,39.92641323776585,32.86769693383148,7.333333333333333
3_3_24,,"39.92597511583, 32.867637925216385",1022/11,"Ön Cebeci, Kıbrıs Cd. No:6, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92597511583,32.867637925216385,7.333333333333333
3_3_25,,"39.92584964377539, 32.867766671253754",1022/13,"Ön Cebeci, Kıbrıs Cd. No:8, 06590 Çankaya/Ankara",,0.0,Değil,,,,,Yıkılmış,3,39.92584964377539,32.867766671253754,1.0
3_3_26,,"39.925736513029825, 32.86783372648408",1022/12,"Ön Cebeci, Kıbrıs Cd. No:10, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.925736513029825,32.86783372648408,7.333333333333333
3_3_27,,"39.925717136102065, 32.86756617786009",1022/2,"Ön Cebeci, Cevher Sk. No:4, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,3,39.925717136102065,32.86756617786009,7.333333333333333
3_3_28,,"39.92550037196122, 32.86741691528089",1022/3,"Ön Cebeci, Cevher Sk. No:6, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92550037196122,32.86741691528089,7.333333333333333
3_3_29,,"39.9254559585202, 32.86719757611119",1022/4,"Ön Cebeci, Boncuk Sk. No:9, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.9254559585202,32.86719757611119,7.333333333333333
3_3_30,,"39.92570736221045, 32.86724296747481",1022/5,"Ön Cebeci, Boncuk Sk. No:7, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92570736221045,32.86724296747481,7.333333333333333
3_3_31,,"39.92595007894053, 32.86711958585567",1022/6,"Ön Cebeci, Boncuk Sk. No:5, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92595007894053,32.86711958585567,7.333333333333333
3_4_1,Cebeci Mahallesi Muhtarlığı,"39.92524102237222, 32.86572915000143",,"Ön Cebeci, Aydoğmuş Sk., 06590 Çankaya/Ankara",Muhtarlık,1.0,Değil,,,,,,3,39.92524102237222,32.86572915000143,2.2666666666666666
3_4_2,,"39.92511567164644, 32.86557580483402",1543/18,"Ön Cebeci, Aydoğmuş Sk. No:6, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92511567164644,32.86557580483402,7.333333333333333
3_4_3,,"39.92481172699432, 32.86578618634159",1543/10,"Ön Cebeci, Aydoğmuş Sk. No:8, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92481172699432,32.86578618634159,6.066666666666666
3_4_4,,"39.92449906957358, 32.865834466100964",1543/13,"Ön Cebeci, Cevher Sk. No:22, 06590 Çankaya/Ankara",Konut + Ticaret,3.0,Değil,,,,,Dönem yapısı? Özgünlüğünü büyük ölçüde korumuş.,3,39.92449906957358,32.865834466100964,4.8
3_4_5,,"39.924361392411214, 32.8657679814581",1543/14,"Ön Cebeci, Cevher Sk. No:24, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,Dönem yapısı? Değişmiş. ,3,39.924361392411214,32.8657679814581,6.066666666666666
3_4_6,,"39.92436027587576, 32.86558945418131",1543/20,"Ön Cebeci, Cevher Sk. No:26, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92436027587576,32.86558945418131,6.066666666666666
3_4_7,,"39.92427330850453, 32.86530163541401",1543/3,"Ön Cebeci, Cevher Sk. No:28, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92427330850453,32.86530163541401,7.333333333333333
3_4_8,,"39.92417200857449, 32.865229428649776",1543/4,"Ön Cebeci, Cevher Sk. No:30, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92417200857449,32.865229428649776,7.333333333333333
3_4_9,,"39.92406308074665, 32.86516572864976",1543/5,"Ön Cebeci, Cevher Sk. No:32, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92406308074665,32.86516572864976,6.066666666666666
3_4_10,,"39.92386355393054, 32.86516304644065",1543/12,"Ön Cebeci, Cevher Sk. No:34, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,3,39.92386355393054,32.86516304644065,8.6
3_4_11,Ankara Kurtuluş Kilisesi,"39.92392808260348, 32.86497835769269",1543/11,"Ön Cebeci, Servi Sk. No:17, 06590 Çankaya/Ankara",Konut+Ticaret+Dini,5.0,Değil,,,,,,3,39.92392808260348,32.86497835769269,7.333333333333333
3_4_12,,"39.9244614369152, 32.86538668668081",1543/19,"Ön Cebeci, Servi Sk. No:9, 06420 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.9244614369152,32.86538668668081,7.333333333333333
3_4_13,,"39.9246136519725, 32.86544837749039",1543/7,"Ön Cebeci, Servi Sk. No:7, 06420 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.9246136519725,32.86544837749039,7.333333333333333
3_4_14,,"39.92476998059799, 32.865502021672626",1543/15,"Ön Cebeci, Servi Sk. No:5, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92476998059799,32.865502021672626,7.333333333333333
3_4_15,Türkiye Diyanet Vakfı Yurtlar ve Sosyal Tesisler İktisadi İşletmesi,"39.924864600382115, 32.865671000846675",1543/16,"Ön Cebeci, Servi Sk. No:3, 06590 Çankaya/Ankara",Yurt,5.0,Değil,,,,,,3,39.924864600382115,32.865671000846675,7.333333333333333
3_4_16,,"39.925014757597225, 32.86562808550089",1543/17,"Ön Cebeci, Servi Sk. No:1, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.925014757597225,32.86562808550089,6.066666666666666
3_4_17,,"39.9242195512701, 32.86600936363919",1542/22,"Ön Cebeci, Aydoğmuş Sk. No:12, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.9242195512701,32.86600936363919,7.333333333333333
3_4_18,,"39.92406630415248, 32.86616218369552",1542/41,"Ön Cebeci, Aydoğmuş Sk. No:14, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92406630415248,32.86616218369552,7.333333333333333
3_4_19,,"39.923842293999954, 32.86613120345077",1542/23,"Ön Cebeci, Aydoğmuş Sk. No:16, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.923842293999954,32.86613120345077,7.333333333333333
3_4_20,,"39.923636251956, 32.866344435414014",1542/31,"Ön Cebeci, Samur Sk. No:22, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,3,39.923636251956,32.866344435414014,8.6
3_4_21,,"39.923564038022164, 32.86623201085887",1542/30,"Ön Cebeci, Samur Sk. No:24, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,3,39.923564038022164,32.86623201085887,8.6
3_4_22,,"39.923438561548856, 32.86605766726659",1542/2,"Ön Cebeci, Samur Sk. No:26, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.923438561548856,32.86605766726659,6.066666666666666
3_4_23,,"39.92338096571359, 32.86579212856451",1542/3,"Ön Cebeci, Samur Sk. No:28, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92338096571359,32.86579212856451,6.066666666666666
3_4_24,,"39.92328634387908, 32.86562851380868",1542/4,"Ön Cebeci, Samur Sk. No:30, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92328634387908,32.86562851380868,7.333333333333333
3_4_25,,"39.92317526590648, 32.86551317881687",1542/5,"Ön Cebeci, Samur Sk. No:32, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92317526590648,32.86551317881687,6.066666666666666
3_4_26,,"39.9230533953351, 32.865193135395124",1542/6,"Ön Cebeci, Samur Sk. No:34, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Dönem yapısı?,3,39.9230533953351,32.865193135395124,7.333333333333333
3_4_27,,"39.92294677275556, 32.86510622847084",1542/7,"Ön Cebeci, Samur Sk. No:36A, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92294677275556,32.86510622847084,6.066666666666666
3_4_28,,"39.92289534753563, 32.86504721987038",1542/7,"Ön Cebeci, Samur Sk. No:36B, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92289534753563,32.86504721987038,6.066666666666666
3_4_29,,"39.922874777436824, 32.864816549886754",1542/8,"Ön Cebeci, Samur Sk. No:38, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.922874777436824,32.864816549886754,7.333333333333333
3_4_30,,"39.922660848042995, 32.864601973157804",1542/9,"Ön Cebeci, Samur Sk. No:40, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.922660848042995,32.864601973157804,7.333333333333333
3_4_31,Ziraat Bankası,"39.922584738382106, 32.86436325655584",1542/43,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:19, 06690 Çankaya/Ankara",Konut + Banka,6.0,Değil,,,,,,3,39.922584738382106,32.86436325655584,8.6
3_4_32,,"39.922777843735865, 32.86421392883644",1542/26,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:17, 06690 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.922777843735865,32.86421392883644,7.333333333333333
3_4_33,,"39.92289715039178, 32.86398325885282",1542/27,"Ön Cebeci, Servi Sk. No:31, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92289715039178,32.86398325885282,7.333333333333333
3_4_34,,"39.92298516864006, 32.86416521370368",1542/28,"Ön Cebeci, Servi Sk. No:29, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92298516864006,32.86416521370368,7.333333333333333
3_4_35,,"39.923018080742104, 32.86430737078661",1542/29,"Ön Cebeci, Servi Sk. No:27, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.923018080742104,32.86430737078661,7.333333333333333
3_4_36,,"39.923135138279925, 32.864379991212864",1542/44,"Ön Cebeci, Servi Sk. No:25, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,3,39.923135138279925,32.864379991212864,8.6
3_4_37,,"39.92324210231942, 32.86461870782383",1542/14,"Ön Cebeci, Servi Sk. No:23, 06590 Çankaya/Ankara",Düğün Salonu,2.0,Değil,,,,,,3,39.92324210231942,32.86461870782383,3.533333333333333
3_4_38,,"39.92345602990152, 32.86464284770382",1542/38,"Ön Cebeci, Servi Sk. No:21-A, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92345602990152,32.86464284770382,7.333333333333333
3_4_39,,"39.923501283728314, 32.86476086489795",1542/39,"Ön Cebeci, Servi Sk. No:21-1, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.923501283728314,32.86476086489795,7.333333333333333
3_4_40,,"39.92369209384214, 32.864769217604234",1542/42,"Ön Cebeci, Servi Sk. No:19, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92369209384214,32.864769217604234,7.333333333333333
